"Work_Geo_Short" "Res_Geo_Short" "Year" "Total" "Drove.alone" "X2.person.carpool" "X3.person.carpool" "X4.person.carpool" "X5.or.6.person.carpool" "X7.or.more.person.carpool" "Bus" "Streetcar.or.trolley" "Subway" "Railroad" "Ferry" "Bicycle" "Walked" "Taxi" "Motorcycle" "Other" "Worked.at.home" "Source" "src" "dst"
"Butte" "San Joaquin" 2016 90 30 0 25 0 0 0 0 0 0 0 0 0 4 0 0 30 0 "CTPP_A302103_5YR_2016" 39 4
"Butte" "Plumas" 2016 30 25 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 32 4
"Butte" "Mendocino" 2016 40 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 23 4
"Butte" "Placer" 2016 205 205 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 31 4
"Butte" "Nevada" 2016 145 120 0 0 0 0 4 25 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 29 4
"Butte" "San Luis Obispo" 2016 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 40 4
"Butte" "San Bernardino" 2016 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 36 4
"Butte" "San Diego" 2016 40 40 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 37 4
"Butte" "Humboldt" 2016 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 12 4
"Butte" "Butte" 2016 80320 59770 6305 1445 340 170 160 1040 4 0 4 0 2235 2815 80 350 440 5160 "CTPP_A302103_5YR_2016" 4 4
"Butte" "San Francisco" 2016 30 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 38 4
"Butte" "Sacramento" 2016 395 370 10 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 34 4
"Butte" "Tulare" 2016 85 4 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 54 4
"Butte" "San Mateo" 2016 30 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 41 4
"Butte" "Fresno" 2016 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 10 4
"Butte" "Santa Barbara" 2016 15 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 42 4
"Butte" "Los Angeles" 2016 70 45 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 19 4
"Butte" "Riverside" 2016 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 "CTPP_A302103_5YR_2016" 33 4
"Butte" "Yuba" 2016 865 695 100 55 10 0 0 0 0 0 0 0 0 0 0 0 4 0 "CTPP_A302103_5YR_2016" 58 4
"Butte" "Glenn" 2016 1880 1680 110 35 45 0 0 4 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 11 4
"Butte" "Amador" 2016 30 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 3 4
"Butte" "Tuolumne" 2016 15 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 55 4
"Butte" "Napa" 2016 25 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 28 4
"Butte" "Merced" 2016 15 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 24 4
"Butte" "Sonoma" 2016 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 49 4
"Butte" "Contra Costa" 2016 15 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 7 4
"Butte" "Tehama" 2016 1560 1350 140 20 0 0 0 45 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 52 4
"Butte" "El Dorado" 2016 15 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 9 4
"Butte" "Shasta" 2016 235 220 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 45 4
"Calaveras" "Fresno" 2016 4 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 10 5
"Calaveras" "Solano" 2016 30 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 48 5
"Calaveras" "Tulare" 2016 15 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 54 5
"Calaveras" "San Joaquin" 2016 520 310 50 4 0 155 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 39 5
"Calaveras" "Los Angeles" 2016 30 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 "CTPP_A302103_5YR_2016" 19 5
"Calaveras" "Sutter" 2016 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 51 5
"Calaveras" "Merced" 2016 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 24 5
"Calaveras" "Santa Cruz" 2016 4 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 44 5
"Calaveras" "Stanislaus" 2016 150 105 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 50 5
"Calaveras" "Contra Costa" 2016 25 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 7 5
"Calaveras" "San Diego" 2016 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 37 5
"Calaveras" "Amador" 2016 325 175 145 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 "CTPP_A302103_5YR_2016" 3 5
"Calaveras" "Tuolumne" 2016 595 490 85 0 0 0 10 0 0 0 0 0 0 0 0 10 0 0 "CTPP_A302103_5YR_2016" 55 5
"Calaveras" "El Dorado" 2016 15 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 9 5
"Calaveras" "Sacramento" 2016 180 160 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 34 5
"Calaveras" "Calaveras" 2016 8915 6175 1030 30 0 0 4 85 0 0 0 0 15 285 0 30 25 1235 "CTPP_A302103_5YR_2016" 5 5
"Colusa" "Yolo" 2016 280 280 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 57 6
"Colusa" "Siskiyou" 2016 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 47 6
"Colusa" "Sutter" 2016 815 620 4 150 15 25 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 51 6
"Colusa" "Napa" 2016 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 28 6
"Colusa" "Shasta" 2016 25 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 45 6
"Colusa" "Colusa" 2016 6720 4945 740 210 65 10 0 30 0 0 0 0 35 200 0 0 45 440 "CTPP_A302103_5YR_2016" 6 6
"Colusa" "Los Angeles" 2016 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 19 6
"Colusa" "Glenn" 2016 555 450 100 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 11 6
"Colusa" "Yuba" 2016 260 260 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 58 6
"Colusa" "Sonoma" 2016 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 49 6
"Colusa" "Butte" 2016 265 235 10 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 4 6
"Colusa" "Sacramento" 2016 40 25 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 34 6
"Colusa" "San Joaquin" 2016 110 70 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 39 6
"Colusa" "Tehama" 2016 40 4 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 52 6
"Colusa" "Solano" 2016 40 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 48 6
"Colusa" "San Francisco" 2016 40 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 38 6
"Colusa" "Fresno" 2016 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 10 6
"Colusa" "Lake" 2016 25 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 17 6
"Colusa" "San Bernardino" 2016 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 36 6
"Colusa" "Contra Costa" 2016 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 7 6
"Colusa" "Placer" 2016 25 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 31 6
"Contra Costa" "Calaveras" 2016 105 85 4 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 5 7
"Contra Costa" "Stanislaus" 2016 1545 1060 295 75 45 0 0 4 0 4 0 0 0 0 0 0 60 0 "CTPP_A302103_5YR_2016" 50 7
"Contra Costa" "Merced" 2016 140 85 0 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 24 7
"Contra Costa" "Contra Costa" 2016 289535 209235 22440 5905 1445 570 265 4050 105 1930 205 10 1785 8025 285 830 2705 29745 "CTPP_A302103_5YR_2016" 7 7
"Contra Costa" "Kings" 2016 20 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 16 7
"Contra Costa" "San Mateo" 2016 2075 1535 220 100 25 0 70 0 0 100 10 0 0 0 0 0 20 0 "CTPP_A302103_5YR_2016" 41 7
"Contra Costa" "San Benito" 2016 50 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 35 7
"Contra Costa" "Monterey" 2016 165 135 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 27 7
